Categoría,Producto,Precio
Vino Tinto,Malbec (Bodega Norton),1200
Vino Tinto,Cabernet Sauvignon (Trapiche),1500
Vino Tinto,Syrah (Alamos),1300
Vino Tinto,Merlot (Bodega Catena),1400
Vino Tinto,Pinot Noir (Bodega Chandon),1600
Vino Blanco,Chardonnay (Santa Julia),1100
Vino Blanco,Sauvignon Blanc (Catena),1400
Vino Blanco,Torrontés (Bodega Colomé),1200
Vino Blanco,Riesling (Bodega Los Haroldos),1300
Vino Rosado,Rosé (Bodega Bianchi),1200
Espumantes,Brut Nature (Chandon),2000
Espumantes,Extra Brut (Norton),1800
Cerveza,Quilmes,250
Cerveza,Brahma,300
Cerveza,Heineken,350
Cerveza,Corona,400
Cerveza,Miller,450
Cerveza Artesanal,Patagonia,400
Cerveza Artesanal,Antares,450
Cerveza Artesanal,Schneider,500
Cerveza Artesanal,Imperial,480
Cerveza Artesanal,Andes Origen,420
Cerveza Sin Alcohol,Quilmes 0.0%,250
Cerveza Sin Alcohol,Heineken 0.0%,300
Licor,Fernet Branca,900
Licor,Fernet 1882,850
Vodka,Absolut,1200
Gin,Bombay Sapphire,1500
Gin,Hendrick's Gin,5000
Gin,Beefeater Gin,5500
Gin,Gordon's Gin,3000
Gin,Aconcagua Handcrafted Gin,3000